ct_state_ttl_all,ct_dst_src_ltm_all,ct_dst_src_ltm_dns,sttl_ftp,Dintpkt_ftp,sbytes_http,sloss_http,Dintpkt_http,dttl_smtp,Djit_smtp
24.0,6652.0,984.0,3224.0,2399.0,1122587.0,1033.0,20436.0,5307,4263
24.0,6363.0,1032.0,2635.0,2227.0,1143814.0,1066.0,20650.0,5976,4755
24.0,6319.0,965.0,2635.0,2553.0,989512.0,958.0,18759.0,5481,3246
24.0,6029.0,1009.0,2604.0,1887.0,1720370.0,1153.0,22380.0,5017,2164
24.0,6421.0,1054.0,2480.0,2512.0,1414180.0,1085.0,20929.0,5512,3704
24.0,6343.0,1013.0,2450.0,2140.0,1340497.0,1126.0,22622.0,5366,7809
16.0,6369.0,1087.0,3348.0,2531.0,1251631.0,1104.0,22464.0,4321,2141
16.0,5871.0,936.0,2387.0,1208.0,1168538.0,1042.0,19784.0,3712,1822
24.0,5774.0,965.0,2914.0,3066.0,1269912.0,1060.0,20929.0,4263,1776
24.0,6346.0,1129.0,2666.0,2345.0,1646790.0,1271.0,25237.0,4205,1752
16.0,6683.0,1114.0,3286.0,3071.0,1816492.0,1204.0,24959.0,4641,3316
24.0,6726.0,947.0,2852.0,2443.0,1369060.0,1094.0,20857.0,5249,7587
24.0,5728.0,758.0,3596.0,2364.0,1302144.0,829.0,15394.0,4990,2580
16.0,5932.0,850.0,2697.0,1292.0,1074822.0,913.0,17231.0,5017,2557
24.0,5761.0,833.0,2666.0,1531.0,1287114.0,990.0,18558.0,4872,2547
24.0,6050.0,890.0,2263.0,1294.0,1263059.0,1000.0,19247.0,4756,2617
24.0,5974.0,895.0,2604.0,3125.0,1046090.0,918.0,17681.0,5105,4911
16.0,5993.0,940.0,2263.0,1541.0,1098851.0,1004.0,19617.0,4756,3545
24.0,6529.0,896.0,2853.0,1764.0,1304564.0,987.0,18624.0,4408,1901
24.0,6275.0,882.0,3007.0,2709.0,1090680.0,975.0,19495.0,4901,2475
24.0,6305.0,968.0,3906.0,5210.0,1729863.0,1101.0,21242.0,4350,2250
16.0,6431.0,1004.0,3410.0,4361.0,1242131.0,1079.0,20488.0,4321,3918
24.0,6622.0,924.0,2016.0,870.0,1154020.0,882.0,16532.0,4176,2086
24.0,6369.0,829.0,2666.0,1569.0,970298.0,937.0,17830.0,4525,2342
24.0,6482.0,982.0,2232.0,1732.0,1391646.0,1042.0,19730.0,4785,2783
24.0,6362.0,897.0,2914.0,2178.0,1300340.0,1053.0,19428.0,4582,3367
24.0,6355.0,893.0,3999.0,6330.0,1044849.0,933.0,17093.0,4437,3978
24.0,6390.0,826.0,3348.0,2635.0,948086.0,825.0,14817.0,4615,3759
24.0,6217.0,891.0,3565.0,4202.0,1375339.0,998.0,19086.0,4988,3477
24.0,6441.0,1017.0,2542.0,2695.0,1155462.0,996.0,18634.0,5075,2862
24.0,6404.0,910.0,2542.0,1108.0,1050646.0,893.0,16906.0,5597,3320
24.0,6646.0,962.0,2108.0,1337.0,1299790.0,1051.0,19949.0,5655,7324
24.0,6264.0,937.0,3410.0,2865.0,1080246.0,1059.0,20511.0,5192,7230
24.0,6491.0,1004.0,13950.0,22045.0,1643595.0,1192.0,21740.0,4930,2848
24.0,6069.0,1095.0,29295.0,68262.0,2183652.0,1306.0,25541.0,4959,3243
24.0,6624.0,1100.0,32643.0,66092.0,1833626.0,1249.0,23390.0,4988,2387
24.0,7144.0,1109.0,18476.0,20166.0,1094299.0,1126.0,21620.0,4582,4953
24.0,6996.0,1091.0,18849.0,21255.0,1496843.0,1119.0,20565.0,4206,3304
24.0,6952.0,1054.0,5457.0,3878.0,1483676.0,1156.0,22088.0,4611,2913
24.0,6991.0,950.0,2139.0,1058.0,1459894.0,1117.0,20424.0,4582,3681
24.0,5990.0,942.0,3038.0,2932.0,1421610.0,1121.0,21340.0,5336,4076
16.0,6026.0,901.0,3193.0,2603.0,1106483.0,1000.0,19748.0,5104,4294
24.0,6132.0,918.0,4061.0,5122.0,1302395.0,1006.0,19008.0,4902,7349
24.0,14754.0,2402.0,3906.0,4728.0,1295496.0,960.0,17903.0,4292,2636
32.0,83922.0,6990.0,3255.0,4230.0,1276818.0,1046.0,20344.0,4930,2646
24.0,100797.0,6340.0,2511.0,1669.0,1485762.0,1151.0,22543.0,5568,3739
24.0,96322.0,2313.0,2945.0,2026.0,1338035.0,1077.0,39054.0,5424,4066
24.0,87819.0,2492.0,2790.0,1866.0,1687919.0,1102.0,19441.0,4873,5810
32.0,45223.0,1413.0,2945.0,2616.0,1868987.0,1088.0,19985.0,5133,3382
24.0,6102.0,942.0,2604.0,1115.0,1636586.0,1146.0,22241.0,4872,2632
24.0,6418.0,1046.0,3038.0,1567.0,1430616.0,1163.0,22223.0,4582,2414
16.0,6727.0,993.0,2418.0,1228.0,1454716.0,1112.0,20837.0,4903,6799
24.0,7539.0,1093.0,2791.0,2413.0,1595162.0,1168.0,23042.0,4611,2290
24.0,6825.0,1033.0,2170.0,1173.0,1441620.0,1069.0,19862.0,5075,2804
24.0,6556.0,984.0,2883.0,1764.0,1534528.0,1082.0,20372.0,4582,2297
24.0,6206.0,860.0,2573.0,1585.0,1335156.0,1020.0,18879.0,3886,1517
24.0,6595.0,919.0,2201.0,934.0,1362599.0,984.0,17847.0,4147,1703
24.0,6535.0,990.0,2914.0,3980.0,1665757.0,1081.0,20784.0,4090,1834
24.0,6506.0,1006.0,3255.0,2846.0,1477340.0,1099.0,20917.0,4611,2264
24.0,6186.0,952.0,2604.0,1328.0,1431352.0,1069.0,20955.0,4292,2095
24.0,6458.0,847.0,2046.0,1286.0,1146708.0,917.0,16747.0,4582,2349
24.0,6097.0,840.0,3565.0,3430.0,1420651.0,987.0,17807.0,4902,2536
8.0,7538.0,967.0,2263.0,1368.0,1185355.0,1027.0,16612.0,4611,3163
24.0,10954.0,1092.0,2790.0,1691.0,1155280.0,1243.0,18060.0,4698,2971
24.0,11616.0,1212.0,2604.0,2023.0,1507518.0,1286.0,19209.0,4756,2382
24.0,8855.0,1041.0,3782.0,4091.0,1580490.0,1157.0,19456.0,4408,1870
24.0,7010.0,1003.0,3813.0,5227.0,1211152.0,1057.0,19313.0,3625,2614
16.0,6673.0,965.0,3534.0,4761.0,1271042.0,1047.0,19297.0,4611,4320
24.0,6728.0,935.0,3007.0,2040.0,1228678.0,1059.0,19628.0,4785,2839
16.0,6448.0,825.0,2201.0,992.0,996822.0,954.0,18162.0,5510,4052
24.0,6085.0,841.0,3813.0,4818.0,1184364.0,940.0,17280.0,5104,2942
24.0,6338.0,893.0,2542.0,1354.0,1429954.0,981.0,18608.0,5743,4844
24.0,6486.0,969.0,2914.0,3036.0,1498670.0,1069.0,21025.0,5193,3319
24.0,6551.0,938.0,2635.0,1280.0,1378294.0,1093.0,21367.0,5162,2705
24.0,6145.0,1089.0,3007.0,3291.0,1965610.0,1299.0,25612.0,5220,2827
24.0,6825.0,1056.0,2325.0,1420.0,1316630.0,1105.0,21002.0,4495,2748
16.0,6305.0,1111.0,2945.0,2172.0,1373725.0,1150.0,23895.0,4408,6094
24.0,6366.0,1060.0,3131.0,5363.0,1559112.0,1188.0,23922.0,5046,4197
24.0,7460.0,1158.0,3131.0,2643.0,1772366.0,1274.0,23544.0,5278,3227
24.0,7430.0,1042.0,2604.0,1448.0,1395852.0,1151.0,20715.0,4756,2252
24.0,7249.0,1071.0,3906.0,7919.0,1277396.0,1050.0,19852.0,4902,2416
16.0,6744.0,965.0,2821.0,1481.0,1467456.0,1082.0,19706.0,4874,2238
24.0,6458.0,980.0,2635.0,2039.0,1380156.0,1136.0,22465.0,5162,3284
16.0,6149.0,1081.0,2294.0,1093.0,1573572.0,1201.0,24142.0,5278,2421
24.0,6525.0,971.0,3038.0,3652.0,1397438.0,1013.0,19450.0,5626,3232
24.0,5876.0,988.0,1984.0,1138.0,1511506.0,1116.0,22808.0,5570,4093
24.0,6185.0,993.0,2170.0,1063.0,1640399.0,1154.0,23509.0,5539,4720
16.0,6475.0,1041.0,962.0,503.0,1596502.0,1102.0,19877.0,4611,2042
24.0,6906.0,997.0,2759.0,1311.0,971210.0,985.0,18595.0,4379,2066
24.0,6520.0,981.0,2697.0,1277.0,1387242.0,1151.0,22087.0,4379,2263
24.0,6723.0,1142.0,2604.0,1422.0,1627941.0,1303.0,27155.0,4582,3092
24.0,6612.0,1228.0,2325.0,1165.0,1538509.0,1326.0,26302.0,5394,2912
24.0,11391.0,1134.0,3007.0,1828.0,1424496.0,1292.0,19565.0,1479,949
24.0,10411.0,1087.0,3565.0,2476.0,1250242.0,1110.0,15632.0,58,1
24.0,11113.0,1147.0,1829.0,755.0,1218856.0,1164.0,17150.0,87,56
24.0,9697.0,1042.0,2821.0,1846.0,1359122.0,1189.0,19684.0,58,3
16.0,9046.0,1102.0,2604.0,2003.0,1248996.0,1189.0,19713.0,29,2
0.0,4832.0,261.0,2728.0,2030.0,272710.0,287.0,4702.0,1276,542
16.0,5061.0,52.0,3007.0,2328.0,41500.0,16.0,333.0,4959,2878
24.0,6863.0,46.0,2852.0,1654.0,14948.0,27.0,721.0,4408,2122
24.0,6309.0,31.0,2325.0,2224.0,62242.0,15.0,189.0,4553,2515
16.0,6129.0,68.0,3131.0,3843.0,45784.0,19.0,342.0,4872,3349
24.0,6233.0,215.0,1891.0,719.0,246456.0,194.0,3704.0,4843,4397
24.0,6395.0,977.0,3286.0,4456.0,1440032.0,1081.0,21032.0,6322,5192
24.0,6050.0,944.0,3069.0,3406.0,1425100.0,1076.0,19697.0,6061,3403
24.0,6489.0,939.0,2387.0,1049.0,1306948.0,973.0,17390.0,4843,2762
24.0,6336.0,871.0,2822.0,1563.0,865770.0,883.0,16892.0,4235,4879
24.0,6567.0,1007.0,2884.0,3071.0,1178188.0,1143.0,21929.0,4118,2203
24.0,6929.0,1233.0,2418.0,3254.0,1790552.0,1433.0,28851.0,5278,2781
24.0,6801.0,1139.0,3534.0,2216.0,1487988.0,1220.0,23421.0,4872,3240
24.0,6548.0,1029.0,3069.0,2135.0,1418120.0,1180.0,23882.0,5191,2557
24.0,6082.0,855.0,2790.0,1374.0,1381149.0,925.0,16777.0,4178,5726
16.0,5492.0,745.0,3069.0,2339.0,1271990.0,970.0,18686.0,3626,1368
24.0,6363.0,1023.0,2790.0,1847.0,1526030.0,1122.0,22265.0,4466,2185
24.0,7711.0,1154.0,2449.0,2115.0,1773400.0,1279.0,22523.0,5481,4145
24.0,8911.0,1058.0,3875.0,7598.0,1487040.0,1254.0,20978.0,6032,4630
8.0,10082.0,1073.0,2573.0,2222.0,1009296.0,1102.0,16887.0,4872,2907
24.0,10639.0,1011.0,2666.0,2015.0,997320.0,1057.0,15592.0,4148,1940
24.0,9758.0,1064.0,2821.0,1858.0,1055266.0,1150.0,17677.0,4553,2235
16.0,7170.0,1014.0,3069.0,2310.0,1429414.0,1123.0,22137.0,4959,2879
24.0,6724.0,1178.0,1581.0,566.0,1666816.0,1297.0,25510.0,4988,2928
24.0,8249.0,1075.0,2852.0,2356.0,1180929.0,1137.0,20254.0,4785,1936
24.0,7797.0,1044.0,2945.0,1960.0,1346393.0,1148.0,20470.0,4930,2844
24.0,7305.0,963.0,3596.0,4107.0,1432938.0,1068.0,19279.0,4843,2534
24.0,6850.0,974.0,3100.0,1987.0,1306694.0,1066.0,18976.0,5887,4664
24.0,7220.0,1018.0,2232.0,1006.0,1226748.0,1052.0,18995.0,4727,2520
24.0,7417.0,1051.0,1953.0,1257.0,1341802.0,1172.0,21573.0,4495,1749
24.0,7094.0,1004.0,2325.0,1636.0,1429263.0,1132.0,21905.0,4408,2743
16.0,7267.0,1060.0,2945.0,1717.0,1614570.0,1238.0,24336.0,4988,3001
24.0,6997.0,1075.0,2573.0,3372.0,1468434.0,1135.0,21415.0,3973,1962
24.0,5809.0,926.0,1674.0,609.0,1621468.0,1183.0,22733.0,3944,2225
24.0,6336.0,951.0,2046.0,758.0,1138952.0,1073.0,20134.0,4640,2309
24.0,7206.0,971.0,2604.0,1485.0,898229.0,916.0,16184.0,4814,3042
16.0,7459.0,980.0,2790.0,2606.0,1099866.0,966.0,17180.0,5191,3327
24.0,6467.0,876.0,2728.0,1372.0,1302126.0,962.0,17522.0,3625,1521
16.0,6337.0,860.0,3038.0,1600.0,1273078.0,981.0,18060.0,4292,2391
24.0,6356.0,923.0,3038.0,3269.0,1465824.0,1117.0,20775.0,3799,1526
24.0,6464.0,939.0,3039.0,3069.0,1370922.0,1042.0,18981.0,4002,1890
24.0,6557.0,1051.0,2635.0,1395.0,1551593.0,1121.0,21034.0,5046,3156
24.0,15028.0,1345.0,3782.0,5808.0,1223264.0,1419.0,14601.0,5249,2669
24.0,18923.0,1517.0,3317.0,2763.0,1234352.0,1567.0,15324.0,5278,3457
24.0,19342.0,1516.0,2418.0,1336.0,1771394.0,1666.0,17392.0,5394,4001
16.0,14670.0,1242.0,3100.0,2069.0,1509688.0,1316.0,17908.0,4437,2210
24.0,7198.0,1026.0,2356.0,2150.0,1625923.0,1114.0,19749.0,4641,2201
24.0,6900.0,1122.0,2976.0,1887.0,1669172.0,1266.0,25272.0,5510,3659
24.0,7437.0,1183.0,2883.0,4120.0,1546168.0,1254.0,23759.0,5829,3395
24.0,7299.0,1097.0,3007.0,2481.0,1662604.0,1256.0,23486.0,5539,4070
24.0,7242.0,995.0,2604.0,2275.0,1180878.0,1022.0,18076.0,4669,2419
24.0,7480.0,1055.0,2604.0,2207.0,1481752.0,1131.0,20433.0,4292,2835
24.0,6599.0,1156.0,2635.0,1205.0,1899672.0,1305.0,26987.0,4263,2010
24.0,6872.0,1086.0,2325.0,2551.0,1355130.0,1308.0,26786.0,4379,1996
16.0,7258.0,1178.0,3721.0,3933.0,1749144.0,1359.0,26388.0,4555,2812
16.0,7421.0,1039.0,2790.0,1163.0,1198700.0,1080.0,19447.0,4959,2941
24.0,6426.0,915.0,2914.0,2453.0,1675484.0,1100.0,20238.0,3944,1926
24.0,6149.0,883.0,2325.0,1870.0,1294470.0,915.0,16428.0,4524,2684
24.0,6259.0,981.0,2232.0,962.0,1230542.0,1082.0,20462.0,4582,2912
16.0,6713.0,1053.0,1798.0,726.0,1650293.0,1194.0,24006.0,5598,5987
24.0,6469.0,1006.0,3348.0,2211.0,1331112.0,1028.0,19885.0,5365,3651
24.0,6274.0,789.0,2790.0,2201.0,984574.0,877.0,16778.0,5365,3689
24.0,5839.0,860.0,2976.0,1596.0,1344136.0,905.0,16639.0,4176,1764
24.0,6627.0,958.0,3193.0,2827.0,1135716.0,1028.0,20159.0,4466,2258
16.0,7686.0,1200.0,2418.0,2136.0,1583718.0,1280.0,23641.0,4497,2501
24.0,7491.0,1070.0,2759.0,1505.0,1352548.0,1195.0,22484.0,5365,3012
24.0,7676.0,1130.0,2945.0,2578.0,1585436.0,1248.0,23048.0,4466,2000
24.0,6527.0,895.0,2573.0,1238.0,1414414.0,1023.0,19381.0,4698,2211
24.0,6014.0,857.0,2294.0,912.0,1267440.0,977.0,18611.0,5336,3739
24.0,6584.0,882.0,2201.0,1203.0,1351563.0,1000.0,17584.0,5627,5976
24.0,7071.0,1029.0,2201.0,1648.0,1217540.0,1087.0,19759.0,5017,2769
24.0,6477.0,948.0,2945.0,1995.0,1231082.0,1036.0,20181.0,5104,2912
16.0,6562.0,983.0,2635.0,1461.0,1719682.0,1113.0,21169.0,5017,3704
24.0,6667.0,1046.0,2263.0,1102.0,1573604.0,1161.0,23825.0,4756,2118
24.0,6086.0,1069.0,2263.0,1210.0,1425200.0,1255.0,27023.0,4379,2303
24.0,6242.0,1061.0,2728.0,2116.0,1864966.0,1241.0,24963.0,4959,3407
24.0,6230.0,925.0,3348.0,2850.0,1039800.0,1065.0,22057.0,4930,3524
24.0,6067.0,946.0,3255.0,3263.0,1597808.0,1082.0,21259.0,5452,3446
16.0,8366.0,1134.0,2976.0,1841.0,1476660.0,1247.0,19151.0,4756,2614
16.0,14493.0,1300.0,3379.0,4676.0,1522548.0,1368.0,16886.0,4118,2197
24.0,15670.0,1539.0,2883.0,1977.0,1897854.0,1659.0,22310.0,5452,2871
24.0,7641.0,965.0,2852.0,3594.0,1478952.0,1085.0,20215.0,5945,3403
24.0,6247.0,952.0,3596.0,6239.0,1335554.0,1138.0,21559.0,5887,3810
24.0,6546.0,905.0,3255.0,3914.0,1103290.0,996.0,18469.0,4263,2418
24.0,6094.0,840.0,2666.0,3459.0,1021766.0,932.0,16553.0,5134,3212
24.0,7130.0,1109.0,2759.0,2157.0,1504102.0,1279.0,23570.0,4785,3129
16.0,7925.0,1222.0,2604.0,1450.0,1462642.0,1301.0,24151.0,4988,3585
24.0,10457.0,1394.0,2449.0,1514.0,1394808.0,1485.0,23897.0,5771,3222
24.0,17214.0,1576.0,310.0,369.0,2114760.0,1746.0,21348.0,5337,3493
24.0,14066.0,1268.0,186.0,208.0,1422689.0,1307.0,19461.0,3277,2050
24.0,6321.0,978.0,2139.0,2232.0,1373424.0,1084.0,20833.0,4698,2659
24.0,7200.0,1099.0,2697.0,1358.0,1352792.0,1178.0,21464.0,4727,2798
24.0,10437.0,1342.0,4574.0,3482.0,1681292.0,1424.0,22624.0,3625,1848
24.0,10366.0,1213.0,744.0,362.0,1484462.0,1301.0,21508.0,2520,796
16.0,5214.0,628.0,1519.0,1092.0,745396.0,583.0,10624.0,406,26908
16.0,6329.0,918.0,2201.0,1091.0,1372732.0,1040.0,19496.0,4176,1823
24.0,6575.0,867.0,2914.0,1472.0,1289546.0,965.0,17623.0,4321,2155
24.0,5770.0,733.0,2852.0,2127.0,787718.0,720.0,13420.0,4495,1686
316.0,5618.0,3.0,2790.0,1251.0,47228.0,96.0,4927.0,928,1092
49.0,202.0,377.0,3038.0,2400.0,377790.0,345.0,182686.0,2726,1834
12.0,120.0,2035.0,3689.0,3392.0,1260598.0,1388.0,16424.0,4669,2074
12.0,3676.0,1403.0,5851.0,3157.0,1476618.0,1057.0,19724.0,4756,2557
12.0,60.0,1331.0,3224.0,3222.0,1810091.0,1135.0,16666.0,4727,2852
12.0,23172.0,311.0,2139.0,1084.0,537691.0,337.0,4264.0,4959,2501
119.0,10468.0,829.0,6124.0,6990.0,795212.0,602.0,11412.0,5829,3805
194.0,11908.0,1544.0,15880.0,5580.0,1440902.0,1109.0,21590.0,4988,2415
60.0,4409.0,1443.0,2728.0,1455.0,978274.0,984.0,19082.0,5307,3978
4.0,3448.0,1485.0,2263.0,1092.0,1155820.0,1003.0,19141.0,5162,2760
84.0,12633.0,1482.0,3447.0,2246.0,1233794.0,1063.0,20421.0,5220,3316
53.0,10197.0,1871.0,3193.0,2712.0,1935956.0,1358.0,26198.0,5046,3381
128.0,10695.0,1980.0,2697.0,1698.0,1861740.0,1364.0,24802.0,5655,4297
57.0,9867.0,1836.0,3410.0,3859.0,1549702.0,1193.0,20836.0,4524,1844
47.0,12960.0,1771.0,1674.0,862.0,1254554.0,1155.0,20162.0,4321,2107
450.0,17719.0,12998.0,3348.0,2805.0,1840179.0,1351.0,28981.0,5249,3777
97.0,12858.0,62231.0,3627.0,2597.0,1519446.0,1122.0,21693.0,6119,4052
164.0,12627.0,24711.0,2449.0,1126.0,1512668.0,1246.0,26173.0,6061,4695
203.0,18274.0,17008.0,3658.0,2639.0,1204114.0,975.0,18580.0,5539,4014
195.0,55125.0,10876.0,2139.0,1419.0,975854.0,930.0,17814.0,4582,3136
169.0,46978.0,9385.0,2170.0,1124.0,1036166.0,1040.0,20540.0,5365,2742
186.0,27818.0,24200.0,2418.0,1764.0,1329928.0,1274.0,26720.0,5104,3060
184.0,22952.0,32096.0,2077.0,1030.0,3211615.0,1996.0,31749.0,4495,2304
148.0,16447.0,26859.0,1643.0,615.0,2006098.0,1310.0,21592.0,5162,3308
980.0,34185.0,32341.0,3137.0,1634.0,1105068.0,1043.0,20446.0,4466,2366
660.0,37884.0,26337.0,1984.0,758.0,1450140.0,1142.0,22352.0,4147,2247
118.0,39061.0,18000.0,2077.0,995.0,1081496.0,1088.0,22806.0,4611,2405
37.0,37563.0,12078.0,2852.0,1320.0,1604238.0,1459.0,75427.0,4727,2612
42.0,33354.0,6779.0,3441.0,3466.0,1607932.0,1353.0,53128.0,4292,2629
40.0,26971.0,3675.0,6793.0,6007.0,1605502.0,1146.0,29290.0,4321,2274
186.0,24719.0,5939.0,8979.0,6487.0,1641834.0,1253.0,29697.0,4495,2265
2085.0,17971.0,8860.0,4916.0,4144.0,1192180.0,1002.0,20327.0,4640,2543
587.0,13640.0,1416.0,11191.0,9624.0,1231736.0,1034.0,20116.0,4524,2149
303.0,13732.0,1319.0,3782.0,4081.0,1172756.0,923.0,17724.0,4582,2091
135.0,20719.0,1389.0,2976.0,2755.0,1081046.0,911.0,17116.0,4234,1584
104.0,9960.0,1446.0,2511.0,2181.0,1536504.0,1019.0,19263.0,5104,2658
28.0,8541.0,1421.0,3441.0,6759.0,1230372.0,982.0,18754.0,4959,3163
79.0,10335.0,1386.0,2852.0,1616.0,1491850.0,1016.0,19563.0,5597,4356
28.0,13309.0,1493.0,3193.0,4434.0,1371600.0,1038.0,19974.0,5278,3193
84.0,9921.0,1553.0,3410.0,5010.0,2976352.0,1754.0,24169.0,4814,2736
31.0,10263.0,1769.0,2852.0,1409.0,1780616.0,1379.0,26513.0,4350,2900
248.0,10994.0,1795.0,3038.0,1845.0,1929742.0,1241.0,23255.0,4843,2961
159.0,12692.0,1557.0,4549.0,1891.0,1479062.0,1135.0,21833.0,5365,2935
303.0,12022.0,1633.0,2573.0,1473.0,1286044.0,1141.0,22507.0,4727,2800
294.0,12899.0,1534.0,3193.0,2165.0,1167752.0,1049.0,19275.0,6148,4181
474.0,13425.0,1761.0,2232.0,793.0,1376228.0,1307.0,19278.0,5800,4722
420.0,16040.0,1869.0,18538.0,9446.0,1380630.0,1300.0,19409.0,5510,3889
497.0,13222.0,1737.0,2697.0,1205.0,1158670.0,1141.0,19232.0,4611,3556
12.0,15220.0,1861.0,3720.0,5046.0,1557358.0,1261.0,21064.0,4640,2631
85.0,16737.0,1858.0,4036.0,6610.0,1336574.0,1260.0,24663.0,4814,2653
14.0,15919.0,1839.0,3100.0,2533.0,1711098.0,1286.0,25097.0,4408,2341
91.0,13268.0,1702.0,2635.0,1518.0,1645930.0,1220.0,23430.0,4466,2022
68.0,11717.0,1420.0,3565.0,2667.0,1377606.0,1002.0,19228.0,5481,3971
63.0,10191.0,1512.0,2852.0,1588.0,1628494.0,1148.0,21809.0,4814,2171
416.0,18847.0,14251.0,2852.0,1498.0,1392626.0,1009.0,21289.0,5597,4323
93.0,10117.0,171628.0,2635.0,1635.0,1627628.0,1107.0,22738.0,5307,2936
194.0,9895.0,108326.0,2511.0,1554.0,1288834.0,1050.0,19250.0,5684,4829
137.0,18083.0,60500.0,2635.0,1992.0,1529572.0,1166.0,22694.0,4727,3083
